Date,Stations,Max_Temp
10-07-1970,Bhola,****
10-07-1970,Bogra,30.6
10-07-1970,Dinajpur,32.2
10-07-1970,Ishurdi,32.2
10-07-1970,Khulna,31.7
10-07-1970,Rajshahi,****
10-07-1970,Rangpur,32.2
10-07-1970,Satkhira,29.4
10-07-1970,Srimangal,31.6
10-07-1970,Sylhet,****
11-07-1970,Barisal,28.6
11-07-1970,Bhola,****
11-07-1970,Bogra,30.6
11-07-1970,Dinajpur,30.6
11-07-1970,Ishurdi,31.9
11-07-1970,Khulna,31.6
11-07-1970,Rajshahi,****
11-07-1970,Rangpur,32.3
11-07-1970,Satkhira,31.7
11-07-1970,Srimangal,31.6
11-07-1970,Sylhet,30.6
12-07-1970,Barisal,28.3
12-07-1970,Bhola,****
12-07-1970,Bogra,28.3
12-07-1970,Dinajpur,29.4
12-07-1970,Ishurdi,27.8
12-07-1970,Khulna,28.2
12-07-1970,Rajshahi,****
12-07-1970,Rangpur,30.4
12-07-1970,Satkhira,32.2
12-07-1970,Srimangal,29.1
12-07-1970,Sylhet,26.7
13-07-1970,Barisal,30.1
13-07-1970,Bhola,29.7
13-07-1970,Bogra,29.2
13-07-1970,Dinajpur,29.6
13-07-1970,Ishurdi,30.7
13-07-1970,Khulna,32.7
13-07-1970,Rajshahi,****
13-07-1970,Rangpur,30.1
13-07-1970,Satkhira,31.1
13-07-1970,Srimangal,29.4
13-07-1970,Sylhet,29.4
14-07-1970,Barisal,31.1
14-07-1970,Bhola,30.9
14-07-1970,Bogra,30.6
14-07-1970,Dinajpur,31.1
14-07-1970,Ishurdi,30.7
14-07-1970,Khulna,27.1
14-07-1970,Rajshahi,****
14-07-1970,Rangpur,30.4
14-07-1970,Satkhira,34.4
14-07-1970,Srimangal,28.3
14-07-1970,Sylhet,35
15-07-1970,Barisal,34.4
15-07-1970,Bhola,34.1
15-07-1970,Bogra,30.6
15-07-1970,Dinajpur,33.3
15-07-1970,Ishurdi,32.8
15-07-1970,Khulna,29.9
15-07-1970,Rajshahi,****
15-07-1970,Rangpur,31.3
15-07-1970,Satkhira,32.2
15-07-1970,Srimangal,33.3
15-07-1970,Sylhet,27.2
16-07-1970,Barisal,32.6
16-07-1970,Bhola,31.9
16-07-1970,Bogra,28.3
16-07-1970,Dinajpur,34.4
16-07-1970,Ishurdi,34.8
16-07-1970,Khulna,33.6
16-07-1970,Rajshahi,****
16-07-1970,Rangpur,32
16-07-1970,Satkhira,32.2
16-07-1970,Srimangal,33.8
16-07-1970,Sylhet,26.1
17-07-1970,Barisal,33.6
