Date,Stations,Min_Temp
07-05-1970,Bogra,21
07-06-1970,Bogra,24.9
07-03-1970,Dinajpur,17.3
07-04-1970,Dinajpur,20.7
07-05-1970,Dinajpur,23.9
07-06-1970,Dinajpur,26
07-03-1970,Ishurdi,15.7
07-04-1970,Ishurdi,21.8
07-05-1970,Ishurdi,24.4
07-06-1970,Ishurdi,25
07-03-1970,Jessore,18.3
07-04-1970,Jessore,22.7
07-05-1970,Jessore,25.8
07-06-1970,Jessore,26.6
07-03-1970,Khulna,20.6
07-04-1970,Khulna,23.3
07-05-1970,Khulna,28
07-06-1970,Khulna,26.7
07-03-1970,Rajshahi,****
07-04-1970,Rajshahi,****
07-05-1970,Rajshahi,****
07-06-1970,Rajshahi,****
07-03-1970,Rangpur,13.1
07-04-1970,Rangpur,17.7
07-05-1970,Rangpur,23.4
07-06-1970,Rangpur,24.1
07-03-1970,Satkhira,19.7
07-04-1970,Satkhira,21.1
07-05-1970,Satkhira,25.6
07-06-1970,Satkhira,25.6
07-03-1970,Srimangal,15.6
07-04-1970,Srimangal,20.6
07-05-1970,Srimangal,24.4
07-06-1970,Srimangal,25.6
07-03-1970,Sylhet,15
07-04-1970,Sylhet,21.7
07-05-1970,Sylhet,25
07-06-1970,Sylhet,****
08-03-1970,Barisal,19.8
08-04-1970,Barisal,24.4
08-05-1970,Barisal,26.5
08-06-1970,Barisal,25.5
08-03-1970,Bhola,17.8
08-04-1970,Bhola,21.7
08-05-1970,Bhola,25.6
08-06-1970,Bhola,22.3
08-03-1970,Bogra,18.1
08-04-1970,Bogra,24.5
08-05-1970,Bogra,27.2
08-06-1970,Bogra,25
08-03-1970,Dinajpur,16.9
08-04-1970,Dinajpur,20.6
08-05-1970,Dinajpur,25.6
08-06-1970,Dinajpur,23.9
08-03-1970,Ishurdi,18.2
08-04-1970,Ishurdi,24.4
08-05-1970,Ishurdi,26.1
08-06-1970,Ishurdi,25.3
08-03-1970,Jessore,19.5
08-04-1970,Jessore,24.6
08-05-1970,Jessore,25.6
08-06-1970,Jessore,27.2
08-03-1970,Khulna,21.3
08-04-1970,Khulna,25.2
08-05-1970,Khulna,26.3
08-06-1970,Khulna,25.6
08-03-1970,Rajshahi,****
08-04-1970,Rajshahi,****
08-05-1970,Rajshahi,****
08-06-1970,Rajshahi,****
08-03-1970,Rangpur,13.2
08-04-1970,Rangpur,17.8
08-05-1970,Rangpur,23.3
08-06-1970,Rangpur,23.4
08-03-1970,Satkhira,20
08-04-1970,Satkhira,23.9
08-05-1970,Satkhira,25.6
08-06-1970,Satkhira,25
08-03-1970,Srimangal,16.1
08-04-1970,Srimangal,22.8
08-05-1970,Srimangal,25.6
08-06-1970,Srimangal,25
08-03-1970,Sylhet,16.7
08-04-1970,Sylhet,23.3
08-05-1970,Sylhet,20.6
08-06-1970,Sylhet,25
09-03-1970,Barisal,19.8
09-04-1970,Barisal,23.9
09-05-1970,Barisal,27.2
09-06-1970,Barisal,26.1
09-03-1970,Bhola,19.2
09-04-1970,Bhola,24.2
09-05-1970,Bhola,26.4
09-06-1970,Bhola,23.4
09-03-1970,Bogra,19.4
09-04-1970,Bogra,25.4
09-05-1970,Bogra,25.4
09-06-1970,Bogra,24.9
09-03-1970,Dinajpur,18.4
09-04-1970,Dinajpur,24.5
09-05-1970,Dinajpur,25.6
09-06-1970,Dinajpur,24.4
09-03-1970,Ishurdi,19.7
09-04-1970,Ishurdi,25
09-05-1970,Ishurdi,23.3
09-06-1970,Ishurdi,26
09-03-1970,Jessore,19.8
09-04-1970,Jessore,24.8
09-05-1970,Jessore,27.7
09-06-1970,Jessore,24.4
09-03-1970,Khulna,21.3
09-04-1970,Khulna,25.6
09-05-1970,Khulna,27.9
09-06-1970,Khulna,25.7
09-03-1970,Rajshahi,****
09-04-1970,Rajshahi,****
09-05-1970,Rajshahi,****
09-06-1970,Rajshahi,****
09-03-1970,Rangpur,13.3
09-04-1970,Rangpur,17.5
09-05-1970,Rangpur,23.2
09-06-1970,Rangpur,23.9
09-03-1970,Satkhira,21.3
09-04-1970,Satkhira,21.1
09-05-1970,Satkhira,25.6
09-06-1970,Satkhira,21.7
09-03-1970,Srimangal,14.4
09-04-1970,Srimangal,23.2
