Temp_Max,tmin,rh,rain,sunshine,windsp
27.7,15.1,64,0,10.1,1
27.4,10.9,61,0,10.2,1.5
26.7,14.5,60,0,10.3,1.5
26.2,13.1,63,0,10.4,1
27.4,12.8,63,0,10.2,0
27.6,14.4,65,0,10.2,2
26.7,14.5,60,0,10.8,2
28.2,12.3,63,0,10.7,2
27.6,14,72,0,10,4.7
29.2,24.6,82,1,3.4,2
29.2,13.3,64,0,9.1,5
27.8,12.1,79,0,7,3.8
28,15.4,82,0,8.4,5
32.2,26,83,18,3.9,3
16.4,10.7,88,0,0,2
31.5,18.4,81,0,8.7,4
29.6,18.6,73,0,9.9,2
32,22.8,77,0,10,11
25.5,11,75,0,8.1,0
31.8,23,88,0,8,2
28.8,20.3,85,2,10,3.5
22.6,15.2,83,1,0.3,4.5
27.8,17.9,75,0,7.9,3.5
27.2,24.5,86,0,0.2,3
32.5,22.7,88,0,9.1,2
28.5,17.6,74,0,8.8,2
29.8,14.8,85,0,11,2
26.8,15.8,79,0,8.7,2
27.5,19,83,2,6.2,5
33.2,20.5,75,0,10.1,2
23.8,19.7,86,0,0,0
26.6,14.1,76,0,10,1
32,23,77,0,9.3,1
30.2,17.4,68,0,9.7,2
33.8,24.7,81,0,7.4,1
25.4,13,74,0,6.1,2
29.3,15.4,70,0,10,1.5
33,24.5,73,0,10.1,1
25.4,15.2,79,0,7.7,1
27.5,20.4,86,55,6.5,1
23.7,13.8,83,0,0.3,1
25.1,13.4,69,0,9.6,1
27.5,14.4,64,0,8.7,1
29.5,14.2,64,0,9,1
21.6,10.9,76,0,7.4,2.5
18.4,13.4,88,7,0,1
30.5,22,77,17,8.6,1.3
23.8,12.3,85,0,5.1,2
26.7,13.1,70,0,8.5,1
31.8,21.5,78,0,9.1,1
26,13,77,0,8.2,1
27.8,18.3,76,0,5.8,2
27.2,16.1,80,0,8,1.5
25,12,73,0,6.9,1
33.8,26,79,0,9,5
28.3,24.2,88,44,1.6,1.7
28.8,12.7,69,0,10.2,2
23.7,12.4,84,0,0.5,3
30,15.2,75,0,10.2,4
30.4,24.5,90,0,3.6,2.5
33,25.7,80,0,7.9,9
29.2,15.6,82,0,8.1,2
28.7,24.4,94,12,5.1,8.3
32.1,24,84,9,8.5,2
31.8,23.9,78,0,9.2,9
31.7,24.4,72,0,9.4,0
31.7,23.4,72,0,10.4,5
