Date,Stations,Min_Temp
05-06-1970,Barisal,25.3
05-07-1970,Barisal,26.6
05-08-1970,Barisal,26.6
05-09-1970,Barisal,24.1
05-10-1970,Barisal,23.7
05-11-1970,Barisal,22.9
05-06-1970,Bhola,24.4
05-07-1970,Bhola,****
05-08-1970,Bhola,26.8
05-09-1970,Bhola,24.4
05-10-1970,Bhola,23.9
05-11-1970,Bhola,22.2
05-06-1970,Bogra,26.5
05-07-1970,Bogra,27.8
05-08-1970,Bogra,27.1
05-09-1970,Bogra,25.6
05-10-1970,Bogra,24.4
05-11-1970,Bogra,20.6
05-06-1970,Dinajpur,25.1
05-07-1970,Dinajpur,26.2
05-08-1970,Dinajpur,27.3
05-09-1970,Dinajpur,25.1
05-10-1970,Dinajpur,****
05-11-1970,Dinajpur,21.7
05-06-1970,Ishurdi,26.7
05-07-1970,Ishurdi,27.9
05-08-1970,Ishurdi,26.7
05-09-1970,Ishurdi,24.9
05-10-1970,Ishurdi,23.9
05-11-1970,Ishurdi,****
05-06-1970,Jessore,26.1
05-07-1970,Jessore,27.4
05-08-1970,Jessore,25.9
05-09-1970,Jessore,23.3
05-10-1970,Jessore,24.7
05-11-1970,Jessore,19.9
05-06-1970,Khulna,****
05-07-1970,Khulna,28.3
05-08-1970,Khulna,27.2
05-09-1970,Khulna,24.4
05-10-1970,Khulna,24.3
05-11-1970,Khulna,22.8
05-06-1970,Rajshahi,****
05-07-1970,Rajshahi,****
05-08-1970,Rajshahi,****
05-09-1970,Rajshahi,****
05-10-1970,Rajshahi,****
05-11-1970,Rajshahi,****
05-06-1970,Rangpur,22.4
05-07-1970,Rangpur,25
05-08-1970,Rangpur,25
05-09-1970,Rangpur,26.1
05-10-1970,Rangpur,22.7
05-11-1970,Rangpur,20.1
05-06-1970,Satkhira,25
05-07-1970,Satkhira,25.6
05-08-1970,Satkhira,25.6
05-09-1970,Satkhira,25
05-10-1970,Satkhira,24.4
05-11-1970,Satkhira,20
05-06-1970,Srimangal,25
05-07-1970,Srimangal,25.6
05-08-1970,Srimangal,25.6
05-09-1970,Srimangal,24.4
05-10-1970,Srimangal,21.7
05-11-1970,Srimangal,20.6
05-06-1970,Sylhet,25
05-07-1970,Sylhet,25.6
05-08-1970,Sylhet,25
05-09-1970,Sylhet,26.1
05-10-1970,Sylhet,20
05-11-1970,Sylhet,20.6
