Date,Stations,Max_Temp
10-06-1970,Dinajpur,31.1
10-03-1970,Ishurdi,33.8
10-04-1970,Ishurdi,38.8
10-05-1970,Ishurdi,37.2
10-06-1970,Ishurdi,30.8
10-03-1970,Jessore,33.3
10-04-1970,Jessore,37
10-05-1970,Jessore,38
10-06-1970,Jessore,31.4
10-03-1970,Khulna,34.9
10-04-1970,Khulna,36.1
10-05-1970,Khulna,36.9
10-06-1970,Khulna,30.1
10-03-1970,Rajshahi,****
10-04-1970,Rajshahi,****
10-05-1970,Rajshahi,****
10-06-1970,Rajshahi,****
10-03-1970,Rangpur,31.3
10-04-1970,Rangpur,38.9
10-05-1970,Rangpur,37.3
10-06-1970,Rangpur,31.7
10-03-1970,Satkhira,33.9
10-04-1970,Satkhira,36.7
10-05-1970,Satkhira,37.2
10-06-1970,Satkhira,31.3
10-03-1970,Srimangal,33.8
10-04-1970,Srimangal,32.7
10-05-1970,Srimangal,35.2
10-06-1970,Srimangal,33.3
10-03-1970,Sylhet,31.7
10-04-1970,Sylhet,28.3
10-05-1970,Sylhet,32.2
10-06-1970,Sylhet,35
11-03-1970,Barisal,****
11-04-1970,Barisal,34.4
11-05-1970,Barisal,34.7
11-06-1970,Barisal,30.7
11-03-1970,Bhola,31.8
11-04-1970,Bhola,35.7
11-05-1970,Bhola,35.1
11-06-1970,Bhola,33.6
11-03-1970,Bogra,29.4
11-04-1970,Bogra,37.2
11-05-1970,Bogra,43.6
11-06-1970,Bogra,30
11-03-1970,Dinajpur,30.6
11-04-1970,Dinajpur,26.1
11-05-1970,Dinajpur,40
11-06-1970,Dinajpur,32.2
11-03-1970,Ishurdi,29.1
11-04-1970,Ishurdi,37.3
11-05-1970,Ishurdi,40.6
11-06-1970,Ishurdi,33.2
11-03-1970,Jessore,28.1
11-04-1970,Jessore,****
11-05-1970,Jessore,37.7
11-06-1970,Jessore,32.2
11-03-1970,Khulna,27.4
11-04-1970,Khulna,****
11-05-1970,Khulna,37.3
11-06-1970,Khulna,34.7
11-03-1970,Rajshahi,****
11-04-1970,Rajshahi,****
11-05-1970,Rajshahi,****
